"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","4,935.85","4,977.05","4,983.75","4,923.05","","0.85%"
"06/28/2024","4,894.02","4,909.30","4,922.84","4,880.98","25.15M","-0.18%"
"06/27/2024","4,902.60","4,918.63","4,935.11","4,897.18","22.56M","-0.27%"
"06/26/2024","4,915.94","4,954.79","4,975.81","4,889.23","23.58M","-0.41%"
"06/25/2024","4,935.97","4,938.44","4,938.44","4,910.92","21.34M","-0.30%"
"06/24/2024","4,950.98","4,911.17","4,964.84","4,911.17","23.17M","0.89%"
"06/21/2024","4,907.30","4,945.02","4,945.02","4,890.08","57.82M","-0.82%"
"06/20/2024","4,947.73","4,894.13","4,948.89","4,894.13","25.84M","1.27%"
"06/19/2024","4,885.45","4,913.54","4,916.69","4,883.30","22.30M","-0.61%"
"06/18/2024","4,915.47","4,898.33","4,922.61","4,883.18","25.53M","0.72%"
"06/17/2024","4,880.42","4,858.68","4,900.31","4,837.88","26.71M","0.85%"
"06/14/2024","4,839.14","4,942.82","4,942.82","4,819.56","50.98M","-1.95%"
"06/13/2024","4,935.50","5,031.04","5,031.04","4,929.87","34.94M","-1.97%"
"06/12/2024","5,034.43","4,970.61","5,042.39","4,970.61","26.42M","1.40%"
"06/11/2024","4,965.09","5,025.13","5,034.58","4,941.39","29.06M","-1.02%"
"06/10/2024","5,016.48","5,027.86","5,027.86","4,973.88","23.41M","-0.69%"
"06/07/2024","5,051.31","5,072.88","5,077.21","5,018.35","21.97M","-0.35%"
"06/06/2024","5,069.09","5,051.94","5,082.07","5,049.88","23.37M","0.66%"
"06/05/2024","5,035.66","4,972.72","5,044.02","4,972.72","23.78M","1.66%"
"06/04/2024","4,953.37","5,001.97","5,001.97","4,942.14","31.52M","-1.00%"
"06/03/2024","5,003.54","5,008.10","5,039.55","4,997.01","22.74M","0.40%"
"05/31/2024","4,983.67","4,985.71","5,000.76","4,967.19","58.90M","0.03%"
"05/30/2024","4,982.18","4,954.78","4,985.87","4,947.21","22.46M","0.38%"
"05/29/2024","4,963.20","5,027.52","5,027.53","4,955.84","23.44M","-1.33%"
"05/28/2024","5,030.35","5,060.38","5,071.39","5,015.85","20.62M","-0.57%"
"05/27/2024","5,059.20","5,038.92","5,059.20","5,033.56","12.10M","0.47%"
"05/24/2024","5,035.41","5,027.94","5,040.89","4,991.70","19.36M","-0.04%"
"05/23/2024","5,037.60","5,026.70","5,064.50","5,025.28","20.90M","0.25%"
"05/22/2024","5,025.17","5,044.22","5,045.09","5,020.70","22.04M","-0.43%"
