"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","34.870","34.455","34.930","34.455","0.05K","1.13%"
"06/28/2024","34.480","34.675","34.745","34.050","0.46K","-0.25%"
"06/27/2024","34.565","34.125","34.250","34.125","0.00K","2.19%"
"06/26/2024","33.825","35.150","35.150","34.850","0.08K","-2.96%"
"06/25/2024","34.855","34.325","34.875","34.325","0.17K","2.27%"
"06/24/2024","34.080","33.800","34.550","33.800","0.21K","0.42%"
"06/21/2024","33.936","34.400","34.555","33.870","0.52K","-1.53%"
"06/20/2024","34.465","34.530","35.690","34.250","0.89K","-2.50%"
"06/19/2024","35.350","34.530","35.550","34.450","0.43K","1.87%"
"06/18/2024","34.700","34.280","35.050","34.280","0.60K","1.43%"
"06/17/2024","34.210","35.400","35.400","34.200","0.41K","-3.25%"
"06/14/2024","35.360","35.375","36.045","34.850","0.41K","-1.02%"
"06/13/2024","35.725","35.665","36.750","35.560","0.40K","1.22%"
"06/12/2024","35.295","34.055","36.025","33.930","0.43K","2.95%"
"06/11/2024","34.285","33.675","35.335","33.580","0.26K","0.07%"
"06/10/2024","34.260","33.005","34.675","32.430","0.62K","3.48%"
"06/07/2024","33.109","32.885","33.405","32.815","0.36K","-1.71%"
"06/06/2024","33.685","33.225","34.150","32.960","0.43K","0.99%"
"06/05/2024","33.355","33.750","34.380","33.175","1.08K","-1.30%"
"06/04/2024","33.795","36.075","36.480","33.690","0.93K","-6.16%"
"06/03/2024","36.015","36.230","38.500","35.695","0.43K","5.24%"
"05/31/2024","34.223","35.280","35.700","34.130","0.37K","-2.75%"
"05/30/2024","35.192","33.875","34.545","33.600","0.06K","3.87%"
"05/29/2024","33.880","34.135","34.300","33.400","0.17K","1.03%"
"05/28/2024","33.535","34.410","34.800","33.380","0.16K","-3.64%"
"05/27/2024","34.800","34.410","34.800","34.410","0.09K","2.01%"
"05/24/2024","34.115","35.600","35.600","33.500","0.76K","-3.16%"
"05/23/2024","35.230","34.620","36.165","33.855","1.23K","2.44%"
"05/22/2024","34.390","32.880","34.750","32.830","1.01K","4.20%"
"05/21/2024","33.005","31.625","33.205","31.330","0.79K","3.89%"
"05/20/2024","31.770","31.320","32.170","31.245","0.84K","3.25%"
"05/17/2024","30.769","30.880","31.020","30.250","0.81K","1.72%"
"05/16/2024","30.250","29.510","30.750","29.510","1.15K","1.73%"
"05/15/2024","29.735","29.585","30.550","29.500","1.35K","0.22%"
"05/14/2024","29.670","29.765","30.200","29.330","1.49K","0.30%"
"05/13/2024","29.580","29.595","29.875","29.165","1.21K","-1.50%"
"05/10/2024","30.030","30.740","31.565","29.655","1.25K","-2.71%"
"05/09/2024","30.865","30.835","31.500","30.440","1.09K","0.83%"
"05/08/2024","30.610","30.585","31.050","30.045","1.37K","-1.46%"
"05/07/2024","31.065","31.600","32.145","30.565","1.81K","-2.31%"
"05/06/2024","31.800","30.720","32.175","30.720","1.10K","4.16%"
"05/03/2024","30.530","30.710","31.780","30.045","1.09K","-1.25%"
"05/02/2024","30.915","28.525","31.175","28.525","1.62K","7.61%"
"05/01/2024","28.730","28.700","29.055","28.475","0.79K","-1.34%"
"04/30/2024","29.120","28.450","29.505","28.450","0.43K","4.02%"
"04/29/2024","27.994","27.994","27.994","27.994","0.00K","-3.08%"
"04/26/2024","28.885","29.865","30.265","29.265","0.07K","-2.97%"
"04/25/2024","29.770","29.645","30.650","29.360","0.09K","2.58%"
"04/24/2024","29.020","29.120","29.330","28.200","0.23K","2.13%"
"04/23/2024","28.415","28.965","29.905","28.400","0.17K","-3.05%"
"04/22/2024","29.310","29.850","30.425","29.075","0.38K","-4.71%"
"04/19/2024","30.758","33.615","33.715","30.575","0.64K","-4.80%"
"04/18/2024","32.310","30.980","32.615","30.390","0.70K","3.26%"
"04/17/2024","31.290","33.700","33.700","31.200","0.54K","-5.58%"
"04/16/2024","33.140","32.020","33.710","31.845","0.72K","6.41%"
"04/15/2024","31.145","31.230","31.560","29.850","0.53K","1.34%"
"04/12/2024","30.732","29.565","30.980","28.950","1.28K","4.62%"
"04/11/2024","29.375","27.750","29.685","27.645","1.13K","8.39%"
"04/10/2024","27.100","27.530","27.870","26.825","1.46K","-0.91%"
"04/09/2024","27.350","27.955","28.570","27.180","0.67K","-2.01%"
"04/08/2024","27.910","26.495","28.205","26.460","0.90K","4.91%"
"04/05/2024","26.605","26.560","27.025","26.070","0.46K","1.53%"
"04/04/2024","26.205","25.685","26.555","25.520","1.35K","2.50%"
"04/03/2024","25.565","25.700","25.955","25.185","1.77K","-2.44%"
"04/02/2024","26.205","27.350","27.500","26.045","0.71K","-4.15%"
"04/01/2024","27.340","27.340","27.340","27.340","","0.00%"
"03/28/2024","27.340","27.550","28.125","27.195","0.34K","-1.25%"
"03/27/2024","27.687","27.350","27.350","27.150","0.03K","2.05%"
"03/26/2024","27.130","27.610","28.105","27.150","0.56K","-4.77%"
"03/25/2024","28.490","28.825","29.070","28.070","0.13K","2.57%"
"03/22/2024","27.776","26.525","27.875","26.525","0.40K","5.21%"
"03/21/2024","26.400","27.045","27.390","26.350","0.29K","-4.83%"
"03/20/2024","27.740","28.385","28.745","27.415","0.62K","-3.90%"
"03/19/2024","28.865","28.900","29.675","27.800","0.37K","0.16%"
"03/18/2024","28.820","28.025","29.150","28.025","0.76K","6.64%"
"03/15/2024","27.026","26.255","27.295","26.000","1.15K","3.75%"
"03/14/2024","26.050","24.675","26.600","24.675","0.51K","4.60%"
"03/13/2024","24.905","25.100","25.425","24.555","0.24K","0.52%"
"03/12/2024","24.775","25.010","25.010","24.355","0.30K","-0.62%"
"03/11/2024","24.930","25.970","26.465","24.760","0.45K","-5.53%"
"03/08/2024","26.390","26.335","26.790","25.975","0.36K","1.54%"
"03/07/2024","25.990","26.015","26.925","25.760","0.18K","-2.18%"
"03/06/2024","26.570","27.065","28.560","26.150","0.29K","-3.28%"
"03/05/2024","27.470","26.660","28.685","26.660","0.47K","2.18%"
"03/04/2024","26.885","25.200","27.280","24.870","0.38K","4.17%"
"03/01/2024","25.809","25.275","25.900","25.125","0.58K","3.80%"
"02/29/2024","24.865","25.550","25.550","24.795","0.17K","-2.94%"
"02/28/2024","25.619","25.625","25.650","25.320","0.01K","5.04%"
"02/27/2024","24.390","23.250","24.750","23.250","0.11K","1.58%"
"02/26/2024","24.010","23.200","24.200","23.075","0.12K","4.69%"
"02/23/2024","22.934","22.770","23.450","22.650","0.12K","-1.13%"
"02/22/2024","23.195","23.975","23.975","22.750","0.35K","-3.25%"
"02/21/2024","23.975","24.100","24.250","23.655","0.48K","-0.81%"
"02/20/2024","24.170","24.355","24.690","23.425","0.58K","2.42%"
"02/19/2024","23.600","24.355","24.690","23.575","0.09K","-4.92%"
"02/16/2024","24.820","25.200","25.200","24.415","0.45K","-0.58%"
"02/15/2024","24.965","24.850","25.700","24.805","0.43K","0.44%"
"02/14/2024","24.855","25.105","25.415","24.555","0.82K","-2.28%"
"02/13/2024","25.435","26.150","26.495","25.250","0.81K","-1.15%"
"02/12/2024","25.730","26.180","26.325","25.630","0.52K","-5.11%"
"02/09/2024","27.115","27.255","27.450","26.650","0.27K","-2.50%"
"02/08/2024","27.810","28.150","28.505","27.665","0.59K","-1.33%"
"02/07/2024","28.185","28.225","28.845","28.005","0.28K","-1.47%"
"02/06/2024","28.605","28.420","29.200","27.800","0.33K","0.94%"
"02/05/2024","28.340","29.850","29.850","28.080","0.48K","-3.29%"
"02/02/2024","29.305","28.630","29.540","28.630","1.46K","1.09%"
"02/01/2024","28.990","30.140","30.715","28.800","1.04K","-4.12%"
"01/31/2024","30.235","29.490","31.050","29.180","0.20K","2.87%"
"01/30/2024","29.391","28.050","28.550","28.050","0.09K","4.32%"
"01/29/2024","28.175","28.540","28.950","28.155","0.21K","0.34%"
"01/26/2024","28.079","27.140","27.975","26.840","0.06K","1.06%"
"01/25/2024","27.785","28.800","29.215","27.485","0.12K","-3.96%"
"01/24/2024","28.930","27.455","29.130","27.445","0.63K","6.26%"
"01/23/2024","27.225","27.375","27.780","26.725","0.92K","-0.15%"
"01/22/2024","27.265","27.105","27.800","26.755","0.35K","-4.09%"
"01/19/2024","28.429","28.600","29.130","28.175","0.29K","1.91%"
"01/18/2024","27.895","27.675","28.705","27.550","0.38K","0.67%"
"01/17/2024","27.710","29.135","29.600","27.440","0.22K","-6.56%"
"01/16/2024","29.655","31.310","31.535","29.320","0.90K","-0.87%"
"01/15/2024","29.915","31.310","31.520","29.320","0.44K","-6.49%"
"01/12/2024","31.990","31.460","32.200","30.930","1.42K","3.81%"
"01/11/2024","30.815","30.700","31.000","30.235","0.41K","-0.40%"
"01/10/2024","30.940","31.145","31.450","30.325","0.49K","0.98%"
"01/09/2024","30.640","30.405","31.800","30.230","0.50K","-2.98%"
"01/08/2024","31.580","33.750","33.950","31.315","1.34K","-8.60%"
